,taxon_id,taxon,species_y
249,137270,disocactus nelsonii,nelsonii
250,134486,dracaena guianensis,guianensis
251,129398,dugong dugon,dugon
252,98011,enhydra lutris,lutris
253,134489,epicrates maurus,maurus
254,129973,equus hemionus,hemionus
255,96559,erythrocebus patas,patas
256,35422,falco columbarius,columbarius
257,35423,falco subbuteo,subbuteo
258,35411,falco tinnunculus,tinnunculus
259,25659,felis chaus,chaus
260,25660,felis margarita,margarita
261,25661,felis silvestris,silvestris
262,100316,fossa fossana,fossana
263,18156,galago senegalensis,senegalensis
264,110287,goura victoria,victoria
265,135227,gyps fulvus,fulvus
266,135228,harpyopsis novaeguineae,novaeguineae
267,118292,helarctos malayanus,malayanus
268,134497,heloderma suspectum,suspectum
269,100346,hemigalus derbyanus,derbyanus
270,25662,herpailurus yagouaroundi,yagouaroundi
271,134498,iguana iguana,iguana
272,34021,ithaginis cruentus,cruentus
273,76177,kinixys erosa,erosa
274,134501,leiopython albertisii,albertisii
275,20377,lontra canadensis,canadensis
276,133032,loxodonta africana,africana
277,98002,lutrogale perspicillata,perspicillata
278,39397,lynx canadensis,canadensis
279,46681,lynx lynx,lynx
280,25663,lynx rufus,rufus
281,133550,macaca arctoides,arctoides
282,96584,macaca assamensis,assamensis
283,134349,macaca fascicularis,fascicularis
284,69063,macaca fuscata,fuscata
285,18139,macaca mulatta,mulatta
286,133082,macaca nemestrina,nemestrina
287,96585,macaca nigra,nigra
288,98050,macropus parma,parma
289,96591,mandrillus leucophaeus,leucophaeus
290,96590,mandrillus sphinx,sphinx
291,118212,manis javanica,javanica
292,130305,manis pentadactyla,pentadactyla
293,127382,manouria emys,emys
294,76417,manouria impressa,impressa
295,130001,miopithecus talapoin,talapoin
296,134503,morelia spilota,spilota
297,134504,morelia viridis,viridis
298,134505,nactus serpensinsula,serpensinsula
299,96640,nycticebus coucang,coucang
300,136401,oryx dammah,dammah
301,67568,otocolobus manul,manul
302,136402,ovis canadensis,canadensis
303,18141,papio anubis,anubis
304,33905,papio cynocephalus,cynocephalus
305,18140,papio hamadryas,hamadryas
306,133970,papio papio,papio
307,64788,papio ursinus,ursinus
308,47091,parnassius apollo,apollo
309,134506,phelsuma abbotti,abbotti
310,134507,phelsuma cepediana,cepediana
311,134508,phelsuma guentheri,guentheri
312,134509,phelsuma lineata,lineata
313,134510,phelsuma madagascariensis,madagascariensis
314,136403,philantomba monticola,monticola
315,49804,phonygammus keraudrenii,keraudrenii
316,137313,phragmipedium pearcei,pearcei
317,129501,piliocolobus badius,badius
318,135231,platalea leucorodia,leucorodia
319,111625,podocnemis expansa,expansa
320,116212,poicephalus robustus,robustus
321,110120,polytelis alexandrae,alexandrae
322,136405,prionodon linsang,linsang
323,38917,puma concolor,concolor
324,21424,ratufa indica,indica
325,137319,rebutia pygmaea,pygmaea
326,49643,rupicola peruvianus,peruvianus
327,136407,saguinus imperator,imperator
328,136408,saguinus labiatus,labiatus
329,136409,saguinus mystax,mystax
330,68854,saimiri sciureus,sciureus
331,134514,salvator merianae,merianae
332,38534,sarkidiornis melanotos,melanotos
333,18131,theropithecus gelada,gelada
334,134516,trioceros bitaeniatus,bitaeniatus
335,134517,trioceros hoehnelii,hoehnelii
336,134518,trioceros jacksonii,jacksonii
337,47828,tupaia glis,glis
338,137331,vanilla pompona,pompona
339,134523,varanus gouldii,gouldii
340,134524,varanus indicus,indicus
341,134525,varanus prasinus,prasinus
342,134526,varanus varius,varius
343,136412,hippotragus equinus,equinus
344,121037,nesoenas mayeri,mayeri
