species_id,year,endangered_status
136359,1965,"""Status inadequately known-survey required or data sought"""
96830,2019,Vulnerable
96830,2008,Vulnerable
96830,1996,Endangered
96830,1994,Endangered
96830,1990,Endangered
96830,1988,Endangered
96830,1986,Endangered
96830,1965,"""Very rare and believed to be decreasing in numbers"""
135203,2019,Endangered
135203,2016,Endangered
135203,2013,Endangered
135203,2012,Endangered
135203,2008,Endangered
135203,2004,Endangered
135203,2000,Endangered
135203,1996,Endangered
135203,1994,Endangered
135203,1988,Threatened
136360,2015,Vulnerable
136360,2013,Vulnerable
136360,2008,Vulnerable
136360,1996,Vulnerable
136360,1994,Endangered
136360,1990,Endangered
136360,1988,Endangered
136360,1986,Endangered
96628,2020,Endangered
96628,2008,Endangered
96628,2000,Lower Risk/near threatened
96628,1996,Lower Risk/near threatened
109992,2016,Near Threatened
109992,2012,Near Threatened
109992,2010,Near Threatened
109992,2008,Vulnerable
109992,2004,Vulnerable
109992,2000,Vulnerable
109992,1996,Vulnerable
109992,1994,Vulnerable
109992,1988,Threatened
109994,2016,Near Threatened
109994,2012,Near Threatened
109994,2008,Near Threatened
109994,2004,Near Threatened
109994,2000,Lower Risk/near threatened
109994,1994,Lower Risk/near threatened
109994,1988,Threatened
136362,2018,Least Concern
136362,2008,Least Concern
136362,1996,Lower Risk/conservation dependent
136362,1994,Vulnerable
136362,1990,Vulnerable
136362,1988,Vulnerable
136362,1986,Vulnerable
136362,1982,Vulnerable
135204,2020,Vulnerable
135204,2017,Near Threatened
135204,2016,Near Threatened
135204,2012,Near Threatened
135204,2008,Near Threatened
135204,2004,Near Threatened
135204,2000,Lower Risk/near threatened
135204,1994,Lower Risk/least concern
135204,1988,Lower Risk/least concern
136363,2016,Critically Endangered
136363,2008,Critically Endangered
136363,2006,Critically Endangered
136363,2000,Critically Endangered
136363,1996,Endangered
136363,1994,Endangered
136363,1990,Endangered
136363,1988,Endangered
136363,1986,Endangered
136363,1965,"""Status inadequately known-survey required or data sought"""
137002,2020,Vulnerable
137003,2019,Least Concern
